close,high,low,date
"22,710.00","22,727.50","22,714.50",20171019
"22,719.00","22,720.50","22,717.00",20171018
"22,718.00","22,720.50","22,716.00",20171017
"22,705.00","22,725.00","22,708.50",20171016
"22,710.00","22,725.50","22,715.00",20171013
"22,719.00","22,722.00","22,716.50",20171012
"22,718.00","22,723.50","22,715.50",20171011
"22,720.00","22,733.50","22,721.50",20171010
"22,725.00","22,729.50","22,725.50",20171009
"22,715.00","22,731.50","22,721.50",20171006
"22,715.00","22,732.00","22,721.50",20171005
"22,720.00","22,737.00","22,723.80",20171004
"22,715.00","22,733.50","22,721.00",20171003
"22,715.00","22,733.50","22,720.50",20171002
"22,720.00","22,736.00","22,723.00",20170929
"22,715.00","22,734.50","22,721.50",20170928
"22,720.00","22,739.00","22,725.00",20170927
"22,720.00","22,737.50","22,726.00",20170926
"22,730.00","22,738.00","22,726.00",20170925
"22,715.00","22,739.50","22,721.00",20170922
"22,720.00","22,733.50","22,724.50",20170921
"22,725.00","22,730.00","22,726.00",20170920
"22,720.00","22,730.50","22,723.50",20170919
"22,721.00","22,730.50","22,723.00",20170918
"22,715.00","22,730.00","22,720.50",20170915
"22,720.00","22,728.00","22,723.00",20170914
"22,720.00","22,729.00","22,723.00",20170913
"22,720.00","22,734.00","22,723.00",20170912
"22,710.00","22,730.00","22,718.00",20170911
"22,725.00","22,728.00","22,725.00",20179208
"22,720.00","22,732.00","22,724.00",20179207
"22,720.00","22,733.00","22,724.00",20179206
"22,728.00","22,733.00","22,727.50",20179205
"22,725.00","22,725.00","22,725.00",20179204
"22,725.00","22,735.50","22,727.50",20179201
"22,715.00","22,735.50","22,723.00",20170831
"22,725.00","22,740.50","22,728.00",20170830
"22,725.00","22,740.50","22,727.50",20170829
"22,725.00","22,738.50","22,727.50",20170828
"22,732.00","22,738.00","22,729.50",20170825
"22,738.00","22,739.00","22,725.00",20170824
"22,730.00","22,738.50","22,726.50",20170823
"22,728.00","22,729.00","22,726.50",20170822
"22,727.00","22,729.00","22,726.50",20170821
"22,728.00","22,731.50","22,726.50",20170818
"22,728.00","22,729.00","22,726.00",20170817
"22,727.00","22,728.50","22,725.50",20170816
"22,727.00","22,728.50","22,726.00",20170815
"22,727.00","22,731.00","22,725.50",20170814
"22,727.00","22,730.00","22,726.50",20170811
"22,730.00","22,735.00","22,728.00",20170810
"22,729.00","22,732.50","22,728.00",20178209
"22,725.00","22,738.50","22,727.50",20178208
"22,730.00","22,740.00","22,729.00",20178207
"22,725.00","22,753.00","22,717.50",20178204
